interaction_id,customer_id,event_time,event_type,channel
I00000099,C000001,2025-07-15 10:00:00,page_view,web
I00000100,C000001,2025-07-27 03:00:00,email_open,mobile_app
I00000101,C000001,2025-08-06 23:00:00,login,web
I00000102,C000001,2025-08-24 12:00:00,login,web
I00000103,C000001,2025-09-21 17:00:00,add_to_cart,email
I00000104,C000001,2025-10-08 12:00:00,page_view,web
I00000105,C000002,2025-04-02 17:00:00,page_view,mobile_app
I00000106,C000002,2025-04-10 07:00:00,email_open,mobile_app
I00000107,C000002,2025-04-14 00:00:00,email_click,email
I00000108,C000002,2025-04-16 23:00:00,page_view,web
I00000109,C000002,2025-04-22 08:00:00,login,mobile_app
I00000110,C000002,2025-04-25 05:00:00,login,web
I00000111,C000002,2025-05-03 08:00:00,page_view,email
I00000112,C000002,2025-05-15 18:00:00,add_to_cart,web
I00000113,C000002,2025-05-16 23:00:00,login,mobile_app
I00000114,C000002,2025-05-17 03:00:00,login,web
I00000115,C000002,2025-05-22 07:00:00,page_view,mobile_app
I00000116,C000002,2025-05-26 02:00:00,login,mobile_app
I00000117,C000002,2025-05-28 16:00:00,page_view,web
I00000118,C000002,2025-06-15 10:00:00,page_view,mobile_app
I00000119,C000002,2025-06-30 10:00:00,page_view,email
I00000120,C000002,2025-07-08 15:00:00,add_to_cart,web
I00000121,C000002,2025-07-16 10:00:00,login,mobile_app
I00000122,C000002,2025-07-18 11:00:00,login,mobile_app
I00000123,C000002,2025-07-24 00:00:00,page_view,mobile_app
I00000124,C000002,2025-08-27 12:00:00,page_view,mobile_app
I00000125,C000003,2024-11-25 04:00:00,add_to_cart,email
I00000126,C000003,2024-11-27 21:00:00,page_view,mobile_app
I00000127,C000003,2024-11-29 19:00:00,email_open,web
I00000128,C000003,2024-11-30 03:00:00,page_view,web
I00000129,C000003,2024-12-11 00:00:00,page_view,mobile_app
I00000130,C000003,2024-12-14 20:00:00,email_open,web
I00000131,C000003,2024-12-23 21:00:00,page_view,mobile_app
I00000132,C000003,2024-12-25 09:00:00,page_view,web
I00000133,C000003,2024-12-25 00:00:00,page_view,mobile_app
I00000134,C000003,2024-12-26 00:00:00,add_to_cart,web
I00000135,C000003,2025-01-02 04:00:00,add_to_cart,email
I00000136,C000003,2025-01-06 08:00:00,add_to_cart,mobile_app
I00000137,C000003,2025-01-06 13:00:00,page_view,web
I00000138,C000003,2025-01-18 01:00:00,page_view,web
I00000139,C000003,2025-01-20 01:00:00,email_click,mobile_app
I00000140,C000003,2025-01-20 02:00:00,page_view,web
I00000141,C000003,2025-01-28 01:00:00,page_view,web
I00000142,C000003,2025-01-31 14:00:00,page_view,mobile_app
I00000143,C000003,2025-02-02 06:00:00,login,email
I00000144,C000003,2025-02-02 23:00:00,page_view,web
I00000145,C000003,2025-02-05 09:00:00,login,mobile_app
I00000146,C000003,2025-02-07 04:00:00,page_view,web
I00000147,C000003,2025-02-07 02:00:00,page_view,mobile_app
I00000148,C000003,2025-02-20 02:00:00,page_view,web
I00000149,C000003,2025-02-24 08:00:00,email_open,web
I00000150,C000003,2025-02-28 02:00:00,page_view,web
I00000151,C000003,2025-02-28 11:00:00,add_to_cart,email
I00000152,C000003,2025-03-04 05:00:00,login,web
I00000153,C000003,2025-03-05 22:00:00,page_view,mobile_app
I00000154,C000003,2025-03-06 18:00:00,page_view,web
I00000155,C000003,2025-03-10 03:00:00,page_view,mobile_app
I00000156,C000003,2025-03-12 00:00:00,email_open,web
I00000157,C000003,2025-03-20 22:00:00,page_view,mobile_app
I00000158,C000003,2025-03-27 14:00:00,login,mobile_app
I00000159,C000003,2025-04-03 09:00:00,email_open,web
I00000160,C000003,2025-04-05 09:00:00,add_to_cart,email
I00000161,C000003,2025-04-14 09:00:00,email_open,web
I00000162,C000003,2025-04-19 13:00:00,page_view,mobile_app
I00000163,C000003,2025-04-27 22:00:00,login,mobile_app
I00000164,C000003,2025-04-29 14:00:00,page_view,mobile_app
I00000165,C000003,2025-05-07 02:00:00,page_view,web
I00000166,C000003,2025-05-12 08:00:00,add_to_cart,email
I00000167,C000003,2025-05-12 06:00:00,login,mobile_app
I00000168,C000003,2025-05-14 11:00:00,add_to_cart,web
I00000169,C000003,2025-05-15 17:00:00,login,web
I00000170,C000003,2025-05-15 22:00:00,page_view,email
I00000171,C000003,2025-05-18 01:00:00,add_to_cart,web
I00000172,C000003,2025-05-19 12:00:00,page_view,mobile_app
I00000173,C000003,2025-05-20 10:00:00,page_view,web
I00000174,C000003,2025-05-23 20:00:00,page_view,email
I00000175,C000003,2025-05-25 09:00:00,email_click,web
I00000176,C000003,2025-06-02 15:00:00,page_view,mobile_app
I00000177,C000003,2025-06-03 09:00:00,page_view,mobile_app
I00000178,C000003,2025-06-10 15:00:00,login,mobile_app
I00000179,C000003,2025-06-18 10:00:00,page_view,web
I00000180,C000003,2025-06-20 16:00:00,email_open,web
I00000181,C000003,2025-06-24 13:00:00,email_open,web
I00000182,C000003,2025-06-30 05:00:00,add_to_cart,web
I00000183,C000003,2025-07-02 06:00:00,email_open,web
I00000184,C000003,2025-07-03 16:00:00,email_click,mobile_app
I00000185,C000003,2025-07-12 05:00:00,page_view,web
I00000186,C000003,2025-07-27 00:00:00,page_view,mobile_app
I00000187,C000003,2025-07-31 09:00:00,page_view,mobile_app
I00000188,C000003,2025-08-04 05:00:00,email_open,mobile_app
I00000189,C000003,2025-08-04 21:00:00,page_view,web
I00000190,C000003,2025-08-08 18:00:00,login,web
I00000191,C000003,2025-08-09 06:00:00,login,web
I00000192,C000003,2025-08-13 19:00:00,login,mobile_app
I00000193,C000003,2025-08-14 15:00:00,email_open,mobile_app
I00000194,C000003,2025-08-17 14:00:00,page_view,web
I00000195,C000003,2025-08-18 23:00:00,login,web
I00000196,C000003,2025-08-21 05:00:00,page_view,web
I00000197,C000003,2025-08-24 19:00:00,add_to_cart,web
I00000198,C000003,2025-08-26 22:00:00,login,web
I00000199,C000003,2025-08-28 14:00:00,page_view,mobile_app
I00000200,C000003,2025-09-01 15:00:00,add_to_cart,email
I00000201,C000003,2025-09-01 17:00:00,add_to_cart,web
I00000202,C000003,2025-09-08 08:00:00,login,email
I00000203,C000003,2025-09-14 07:00:00,page_view,web
I00000204,C000003,2025-09-19 03:00:00,email_open,email
I00000205,C000003,2025-09-27 02:00:00,add_to_cart,web
I00000206,C000003,2025-09-28 12:00:00,email_open,web
I00000207,C000003,2025-09-28 16:00:00,page_view,web
I00000208,C000003,2025-09-29 10:00:00,login,web
I00000209,C000003,2025-10-04 22:00:00,page_view,web
I00000210,C000003,2025-10-21 06:00:00,login,web
I00000211,C000003,2025-10-25 15:00:00,login,mobile_app
I00000212,C000003,2025-11-01 01:00:00,email_click,web
I00000213,C000003,2025-11-03 00:00:00,page_view,mobile_app
I00000214,C000003,2025-11-12 01:00:00,login,web
I00000215,C000003,2025-11-13 18:00:00,email_click,email
I00000216,C000003,2025-11-16 15:00:00,page_view,web
I00000217,C000003,2025-11-17 23:00:00,page_view,web
I00000218,C000003,2025-11-20 07:00:00,login,web
I00000219,C000003,2025-11-25 04:00:00,login,web
I00000220,C000003,2025-11-30 20:00:00,login,web
I00000221,C000003,2025-12-01 22:00:00,email_click,web
I00000222,C000003,2025-12-05 17:00:00,login,email
I00000223,C000003,2025-12-08 09:00:00,add_to_cart,web
I00000224,C000003,2025-12-12 19:00:00,login,web
I00000225,C000003,2025-12-23 06:00:00,login,web
I00000226,C000003,2025-12-25 05:00:00,login,web
I00000227,C000003,2025-12-28 00:00:00,login,mobile_app
I00000228,C000003,2025-12-31 03:00:00,email_open,web
I00000229,C000003,2026-01-01 00:00:00,login,web
I00000230,C000003,2026-01-04 02:00:00,page_view,web
I00000231,C000003,2026-01-08 14:00:00,page_view,web
I00000232,C000003,2026-01-09 18:00:00,add_to_cart,email
I00000233,C000003,2026-01-16 14:00:00,page_view,email
I00000234,C000003,2026-01-17 01:00:00,page_view,web
I00000235,C000003,2026-01-20 09:00:00,page_view,mobile_app
I00000236,C000003,2026-01-23 02:00:00,add_to_cart,mobile_app
I00000237,C000003,2026-01-24 16:00:00,login,web
I00000238,C000003,2026-01-30 10:00:00,page_view,web
I00000239,C000003,2026-01-31 23:00:00,login,web
I00000240,C000003,2026-02-02 15:00:00,page_view,mobile_app
I00000241,C000003,2026-02-02 07:00:00,login,web
I00000242,C000003,2026-02-03 18:00:00,page_view,web
I00000243,C000003,2026-02-08 13:00:00,login,web
I00000244,C000003,2026-02-12 07:00:00,email_open,web
I00000245,C000003,2026-02-20 12:00:00,login,mobile_app
I00000246,C000003,2026-02-21 08:00:00,email_open,web
I00000247,C000003,2026-02-24 00:00:00,add_to_cart,web
I00000248,C000003,2026-02-28 10:00:00,add_to_cart,web
I00000249,C000003,2026-03-06 08:00:00,add_to_cart,web
I00000250,C000003,2026-03-08 05:00:00,page_view,web
I00000251,C000003,2026-03-12 07:00:00,email_open,email
I00000252,C000003,2026-03-14 13:00:00,email_open,mobile_app
I00000253,C000003,2026-03-23 07:00:00,page_view,web
I00000254,C000003,2026-03-25 03:00:00,email_click,web
I00000255,C000003,2026-03-28 08:00:00,email_open,web
I00000256,C000003,2026-03-30 04:00:00,email_open,web
I00000257,C000003,2026-04-01 06:00:00,email_open,web
I00000258,C000003,2026-04-05 08:00:00,email_open,web
I00000259,C000003,2026-04-11 04:00:00,email_open,mobile_app
I00000260,C000003,2026-04-14 01:00:00,add_to_cart,web
I00000261,C000003,2026-04-22 22:00:00,add_to_cart,mobile_app
I00000262,C000003,2026-04-27 05:00:00,email_click,web
I00000263,C000003,2026-04-30 00:00:00,page_view,web
I00000264,C000003,2026-05-02 12:00:00,login,web
I00000265,C000003,2026-05-02 09:00:00,login,mobile_app
I00000266,C000003,2026-05-05 10:00:00,email_open,web
I00000267,C000003,2026-05-10 23:00:00,add_to_cart,web
I00000268,C000003,2026-05-26 10:00:00,page_view,web
I00000269,C000003,2026-05-26 03:00:00,email_open,web
I00000270,C000003,2026-05-28 01:00:00,page_view,mobile_app
I00000271,C000003,2026-05-29 15:00:00,page_view,email
I00000272,C000003,2026-06-01 16:00:00,page_view,web
I00000273,C000003,2026-06-09 06:00:00,page_view,web
I00000274,C000003,2026-06-10 22:00:00,email_click,web
I00000275,C000003,2026-06-15 02:00:00,page_view,web
I00000276,C000003,2026-06-16 06:00:00,email_click,mobile_app
I00000277,C000003,2026-06-22 16:00:00,email_open,mobile_app
I00000278,C000003,2026-06-22 22:00:00,login,mobile_app
I00000279,C000003,2026-06-25 03:00:00,add_to_cart,web
I00000280,C000003,2026-06-25 18:00:00,add_to_cart,email
I00000281,C000003,2026-06-27 09:00:00,add_to_cart,mobile_app
I00000282,C000004,2024-03-06 11:00:00,page_view,mobile_app
I00000283,C000004,2024-04-03 04:00:00,add_to_cart,web
I00000284,C000004,2024-04-24 05:00:00,login,mobile_app
I00000285,C000004,2024-05-04 01:00:00,page_view,web
I00000286,C000004,2024-05-13 08:00:00,login,web
I00000287,C000004,2024-05-22 22:00:00,add_to_cart,web
I00000288,C000004,2024-05-30 03:00:00,page_view,mobile_app
I00000289,C000004,2024-06-17 22:00:00,add_to_cart,web
I00000290,C000004,2024-08-04 11:00:00,email_open,mobile_app
I00000291,C000004,2024-09-02 08:00:00,email_open,web
I00000292,C000004,2024-09-27 02:00:00,page_view,email
I00000293,C000004,2024-10-25 01:00:00,email_open,web
I00000294,C000004,2024-12-24 10:00:00,page_view,email
I00000295,C000004,2025-01-16 17:00:00,add_to_cart,mobile_app
I00000296,C000004,2025-01-24 16:00:00,login,web
I00000297,C000004,2025-02-09 01:00:00,login,web
I00000298,C000004,2025-04-15 12:00:00,page_view,web
I00000299,C000004,2025-04-17 23:00:00,add_to_cart,web
I00000300,C000004,2025-04-18 17:00:00,page_view,web
I00000301,C000005,2025-09-08 08:00:00,page_view,mobile_app
I00000302,C000005,2025-09-18 11:00:00,page_view,web
I00000303,C000005,2025-10-08 16:00:00,login,mobile_app
I00000304,C000005,2025-10-13 05:00:00,page_view,web
I00000305,C000005,2025-10-13 11:00:00,add_to_cart,web
I00000306,C000005,2025-11-06 16:00:00,page_view,mobile_app
I00000307,C000005,2025-11-29 04:00:00,page_view,mobile_app
I00000308,C000005,2025-12-11 22:00:00,login,mobile_app
I00000309,C000005,2026-01-05 21:00:00,email_open,web
I00000310,C000005,2026-01-10 05:00:00,login,mobile_app
I00000311,C000005,2026-01-13 01:00:00,login,web
I00000312,C000005,2026-02-19 16:00:00,page_view,mobile_app
I00000313,C000005,2026-03-31 20:00:00,add_to_cart,mobile_app
I00000314,C000005,2026-05-20 18:00:00,add_to_cart,web
I00000315,C000005,2026-05-22 13:00:00,page_view,mobile_app
I00000316,C000005,2026-05-25 10:00:00,page_view,web
I00000317,C000005,2026-06-12 12:00:00,page_view,web
I00000318,C000005,2026-06-20 00:00:00,login,mobile_app
I00000319,C000006,2025-01-10 18:00:00,page_view,email
I00000320,C000006,2025-01-12 13:00:00,email_open,web
I00000321,C000006,2025-01-20 11:00:00,page_view,web
I00000322,C000006,2025-01-25 20:00:00,add_to_cart,mobile_app
I00000323,C000006,2025-02-02 11:00:00,add_to_cart,mobile_app
I00000324,C000006,2025-02-12 16:00:00,page_view,mobile_app
I00000325,C000006,2025-02-18 18:00:00,page_view,web
I00000326,C000006,2025-02-27 23:00:00,add_to_cart,web
I00000327,C000006,2025-03-04 22:00:00,page_view,mobile_app
I00000328,C000006,2025-03-04 08:00:00,add_to_cart,mobile_app
I00000329,C000006,2025-03-06 17:00:00,login,web
I00000330,C000006,2025-03-07 14:00:00,page_view,web
I00000331,C000006,2025-03-21 18:00:00,login,mobile_app
I00000332,C000006,2025-04-01 05:00:00,email_click,mobile_app
I00000333,C000006,2025-04-02 20:00:00,login,mobile_app
I00000334,C000006,2025-04-06 05:00:00,login,mobile_app
I00000335,C000006,2025-04-06 06:00:00,login,mobile_app
I00000336,C000006,2025-04-12 08:00:00,login,web
I00000337,C000006,2025-04-26 07:00:00,page_view,web
I00000338,C000006,2025-05-03 11:00:00,login,mobile_app
I00000339,C000006,2025-05-12 03:00:00,email_click,web
I00000340,C000006,2025-05-22 08:00:00,add_to_cart,web
I00000341,C000006,2025-05-24 12:00:00,page_view,web
I00000342,C000006,2025-06-08 22:00:00,add_to_cart,web
I00000343,C000006,2025-06-11 06:00:00,page_view,mobile_app
I00000344,C000006,2025-06-21 12:00:00,page_view,web
I00000345,C000006,2025-07-05 22:00:00,page_view,mobile_app
I00000346,C000006,2025-07-09 14:00:00,email_open,mobile_app
I00000347,C000006,2025-07-14 20:00:00,login,mobile_app
I00000348,C000006,2025-07-16 17:00:00,login,web
I00000349,C000006,2025-07-19 10:00:00,page_view,web
I00000350,C000006,2025-07-20 16:00:00,login,mobile_app
I00000351,C000006,2025-07-26 21:00:00,page_view,web
I00000352,C000006,2025-07-26 07:00:00,page_view,web
I00000353,C000006,2025-08-02 04:00:00,page_view,email
I00000354,C000006,2025-08-04 06:00:00,login,mobile_app
I00000355,C000006,2025-08-12 22:00:00,add_to_cart,web
I00000356,C000006,2025-08-12 00:00:00,login,mobile_app
I00000357,C000006,2025-08-29 17:00:00,page_view,web
I00000358,C000006,2025-08-29 06:00:00,email_open,web
I00000359,C000006,2025-09-04 11:00:00,page_view,mobile_app
I00000360,C000006,2025-09-04 19:00:00,login,web
I00000361,C000006,2025-09-09 17:00:00,email_click,mobile_app
I00000362,C000006,2025-09-16 09:00:00,login,web
I00000363,C000006,2025-09-29 14:00:00,page_view,web
I00000364,C000007,2025-01-27 02:00:00,page_view,web
I00000365,C000007,2025-01-28 01:00:00,page_view,web
I00000366,C000007,2025-01-31 10:00:00,email_click,mobile_app
I00000367,C000007,2025-02-06 17:00:00,page_view,mobile_app
I00000368,C000007,2025-02-12 06:00:00,email_click,mobile_app
I00000369,C000007,2025-02-23 16:00:00,page_view,web
I00000370,C000007,2025-03-05 21:00:00,login,web
I00000371,C000007,2025-03-14 19:00:00,login,web
I00000372,C000007,2025-03-20 03:00:00,email_open,web
I00000373,C000007,2025-03-25 18:00:00,email_click,mobile_app
I00000374,C000007,2025-04-01 17:00:00,email_click,email
I00000375,C000007,2025-04-05 05:00:00,page_view,mobile_app
I00000376,C000007,2025-04-09 23:00:00,login,web
I00000377,C000007,2025-04-14 02:00:00,add_to_cart,web
I00000378,C000007,2025-05-07 19:00:00,add_to_cart,web
I00000379,C000007,2025-05-10 02:00:00,page_view,mobile_app
I00000380,C000007,2025-05-23 03:00:00,add_to_cart,web
I00000381,C000007,2025-06-03 23:00:00,email_click,web
I00000382,C000007,2025-06-05 04:00:00,page_view,email
I00000383,C000007,2025-06-07 04:00:00,login,mobile_app
I00000384,C000007,2025-06-09 09:00:00,add_to_cart,web
I00000385,C000007,2025-06-11 11:00:00,add_to_cart,web
I00000386,C000007,2025-06-12 19:00:00,email_open,mobile_app
I00000387,C000007,2025-06-12 13:00:00,page_view,web
I00000388,C000007,2025-06-17 22:00:00,login,web
I00000389,C000007,2025-06-29 02:00:00,login,web
I00000390,C000007,2025-07-08 02:00:00,page_view,web
I00000391,C000007,2025-07-13 14:00:00,login,web
I00000392,C000007,2025-07-30 01:00:00,email_open,mobile_app
I00000393,C000007,2025-08-04 11:00:00,email_open,mobile_app
I00000394,C000007,2025-08-07 23:00:00,login,mobile_app
I00000395,C000007,2025-08-08 07:00:00,email_click,web
I00000396,C000007,2025-08-09 06:00:00,login,web
I00000397,C000007,2025-08-12 12:00:00,login,web
I00000398,C000007,2025-08-19 04:00:00,page_view,mobile_app
I00000399,C000007,2025-08-22 22:00:00,email_open,web
I00000400,C000007,2025-08-22 00:00:00,page_view,web
I00000401,C000007,2025-08-31 14:00:00,login,web
I00000402,C000007,2025-09-06 09:00:00,page_view,web
I00000403,C000007,2025-09-14 13:00:00,email_open,mobile_app
I00000404,C000007,2025-09-17 01:00:00,add_to_cart,mobile_app
I00000405,C000007,2025-09-27 02:00:00,page_view,web
I00000406,C000007,2025-09-28 22:00:00,email_open,web
I00000407,C000007,2025-09-29 07:00:00,page_view,mobile_app
I00000408,C000007,2025-10-05 06:00:00,add_to_cart,mobile_app
I00000409,C000007,2025-10-06 10:00:00,email_click,mobile_app
I00000410,C000007,2025-10-10 22:00:00,login,web
I00000411,C000007,2025-10-15 22:00:00,login,web
I00000412,C000007,2025-10-18 08:00:00,email_open,web
I00000413,C000007,2025-10-21 10:00:00,login,web
I00000414,C000007,2025-10-23 10:00:00,login,web
I00000415,C000007,2025-10-23 21:00:00,page_view,mobile_app
I00000416,C000007,2025-10-27 00:00:00,add_to_cart,web
I00000417,C000007,2025-11-02 01:00:00,email_open,mobile_app
I00000418,C000007,2025-11-05 19:00:00,page_view,web
I00000419,C000007,2025-11-05 07:00:00,page_view,mobile_app
I00000420,C000007,2025-11-05 09:00:00,login,web
I00000421,C000007,2025-11-22 09:00:00,page_view,email
I00000422,C000007,2025-11-22 21:00:00,page_view,mobile_app
I00000423,C000007,2025-11-24 23:00:00,email_open,web
I00000424,C000007,2025-11-26 17:00:00,login,web
I00000425,C000007,2025-12-05 12:00:00,page_view,mobile_app
I00000426,C000007,2025-12-21 07:00:00,login,web
I00000427,C000007,2025-12-24 17:00:00,page_view,web
I00000428,C000007,2025-12-25 23:00:00,page_view,web
I00000429,C000007,2026-01-06 20:00:00,login,web
I00000430,C000007,2026-01-13 07:00:00,page_view,mobile_app
I00000431,C000007,2026-01-20 00:00:00,page_view,mobile_app
I00000432,C000007,2026-01-22 08:00:00,page_view,mobile_app
I00000433,C000007,2026-01-25 21:00:00,email_open,web
I00000434,C000007,2026-01-25 22:00:00,add_to_cart,web
I00000435,C000007,2026-01-26 07:00:00,page_view,mobile_app
I00000436,C000007,2026-01-28 12:00:00,login,web
I00000437,C000007,2026-01-29 13:00:00,add_to_cart,mobile_app
I00000438,C000007,2026-02-07 20:00:00,page_view,web
I00000439,C000007,2026-02-13 14:00:00,page_view,mobile_app
I00000440,C000007,2026-02-14 12:00:00,login,email
I00000441,C000007,2026-02-14 23:00:00,page_view,web
I00000442,C000007,2026-02-16 13:00:00,page_view,web
I00000443,C000007,2026-03-01 09:00:00,add_to_cart,web
I00000444,C000007,2026-03-05 01:00:00,page_view,web
I00000445,C000007,2026-03-09 22:00:00,email_open,mobile_app
I00000446,C000007,2026-03-15 22:00:00,login,web
I00000447,C000007,2026-04-04 18:00:00,email_open,web
I00000448,C000007,2026-04-04 10:00:00,email_open,email
I00000449,C000007,2026-04-05 07:00:00,login,mobile_app
I00000450,C000007,2026-04-08 03:00:00,page_view,mobile_app
I00000451,C000007,2026-04-16 16:00:00,login,email
I00000452,C000007,2026-04-19 20:00:00,login,web
I00000453,C000007,2026-04-19 17:00:00,page_view,web
I00000454,C000007,2026-04-20 09:00:00,page_view,mobile_app
I00000455,C000007,2026-04-20 13:00:00,email_click,mobile_app
I00000456,C000007,2026-05-07 09:00:00,add_to_cart,web
I00000457,C000007,2026-05-08 23:00:00,page_view,web
I00000458,C000007,2026-05-14 13:00:00,login,email
I00000459,C000007,2026-05-14 04:00:00,login,web
I00000460,C000007,2026-05-21 23:00:00,email_open,web
I00000461,C000007,2026-05-25 18:00:00,login,web
I00000462,C000007,2026-05-31 19:00:00,login,web
I00000463,C000007,2026-06-02 08:00:00,page_view,mobile_app
I00000464,C000007,2026-06-08 12:00:00,page_view,mobile_app
I00000465,C000007,2026-06-12 12:00:00,login,mobile_app
I00000466,C000007,2026-06-29 12:00:00,login,web
I00000467,C000008,2024-02-19 22:00:00,email_click,web
I00000468,C000008,2024-02-20 03:00:00,email_open,mobile_app
I00000469,C000008,2024-02-22 02:00:00,page_view,mobile_app
I00000470,C000008,2024-02-25 19:00:00,email_click,web
I00000471,C000008,2024-03-01 10:00:00,email_click,web
I00000472,C000008,2024-03-04 23:00:00,add_to_cart,web
I00000473,C000008,2024-03-04 05:00:00,email_open,web
I00000474,C000008,2024-03-06 20:00:00,email_open,web
I00000475,C000008,2024-03-10 14:00:00,page_view,mobile_app
I00000476,C000008,2024-03-10 21:00:00,login,email
