order_id,customer_id,order_date,product_id,quantity,amount,discount,status
O00000042,C000003,2025-11-28 20:00:00,P00060,2,72.38,0.0,completed
O00000043,C000003,2025-12-22 01:00:00,P00004,2,37.0,0.0,completed
O00000044,C000003,2026-01-03 13:00:00,P00049,1,44.42,0.0,completed
O00000045,C000003,2026-04-04 18:00:00,P00029,1,26.84,0.0,completed
O00000046,C000003,2026-05-25 08:00:00,P00003,1,24.16,0.0,completed
O00000047,C000003,2026-06-02 10:00:00,P00010,1,17.47,0.0,completed
O00000048,C000003,2026-06-26 00:00:00,P00019,2,34.0,0.0,completed
O00000049,C000004,2024-02-20 13:00:00,P00025,1,27.34,0.0,completed
O00000050,C000004,2024-10-13 03:00:00,P00006,3,96.24,0.0,completed
O00000051,C000004,2024-10-20 04:00:00,P00001,2,36.58,0.0,completed
O00000052,C000004,2024-12-27 02:00:00,P00009,2,67.24,0.0,completed
O00000053,C000004,2025-03-16 20:00:00,P00025,3,82.02,0.0,completed
O00000054,C000004,2025-04-01 12:00:00,P00004,2,37.0,0.0,completed
O00000055,C000005,2025-11-17 05:00:00,P00041,3,48.09,0.1,completed
O00000056,C000005,2025-12-16 14:00:00,P00061,3,45.76,0.1,completed
O00000057,C000005,2025-12-21 06:00:00,P00040,1,9.88,0.2,completed
O00000058,C000006,2025-01-30 21:00:00,P00046,3,151.44,0.0,completed
O00000059,C000006,2025-02-12 22:00:00,P00003,3,72.48,0.0,completed
O00000060,C000006,2025-03-10 21:00:00,P00015,3,32.7,0.0,completed
O00000061,C000006,2025-04-10 22:00:00,P00004,2,37.0,0.0,cancelled
O00000062,C000006,2025-05-10 08:00:00,P00005,3,60.94,0.1,completed
O00000063,C000006,2025-07-15 07:00:00,P00063,1,20.61,0.2,completed
O00000064,C000006,2025-10-18 01:00:00,P00016,3,38.31,0.0,completed
O00000065,C000007,2025-02-12 07:00:00,P00024,1,19.88,0.0,completed
O00000066,C000007,2025-02-14 03:00:00,P00004,1,18.5,0.0,completed
O00000067,C000007,2025-02-18 11:00:00,P00074,2,29.9,0.0,completed
O00000068,C000007,2025-04-25 07:00:00,P00030,2,22.28,0.0,completed
O00000069,C000007,2025-04-29 04:00:00,P00060,3,97.71,0.1,refunded
O00000070,C000007,2025-04-30 04:00:00,P00035,1,25.5,0.0,completed
O00000071,C000007,2025-05-17 22:00:00,P00021,1,9.09,0.0,completed
O00000072,C000007,2025-05-28 20:00:00,P00028,1,11.98,0.2,completed
O00000073,C000007,2025-10-04 15:00:00,P00076,1,57.16,0.1,completed
O00000074,C000007,2025-10-29 06:00:00,P00041,3,42.74,0.2,completed
O00000075,C000007,2026-03-03 02:00:00,P00056,1,19.85,0.1,refunded
O00000076,C000007,2026-06-07 14:00:00,P00029,2,53.68,0.0,completed
O00000077,C000008,2024-02-18 21:00:00,P00074,1,13.46,0.1,completed
O00000078,C000008,2024-02-18 04:00:00,P00071,1,21.61,0.0,completed
O00000079,C000008,2024-02-26 00:00:00,P00040,2,24.7,0.0,completed
O00000080,C000008,2024-03-07 12:00:00,P00077,3,129.87,0.0,completed
O00000081,C000008,2024-03-14 00:00:00,P00049,2,88.84,0.0,completed
O00000082,C000008,2024-03-19 19:00:00,P00027,1,16.68,0.1,refunded
O00000083,C000008,2024-03-21 18:00:00,P00011,2,29.95,0.2,completed
O00000084,C000008,2024-05-10 17:00:00,P00077,1,38.96,0.1,completed
O00000085,C000008,2024-05-27 09:00:00,P00004,2,37.0,0.0,completed
O00000086,C000008,2024-05-31 07:00:00,P00055,2,18.38,0.1,refunded
O00000087,C000008,2024-06-21 20:00:00,P00054,1,9.13,0.0,completed
O00000088,C000008,2024-07-02 20:00:00,P00035,3,61.2,0.2,completed
O00000089,C000008,2024-07-25 19:00:00,P00064,2,24.04,0.0,completed
O00000090,C000008,2024-08-04 10:00:00,P00043,3,25.86,0.0,completed
O00000091,C000008,2024-08-18 18:00:00,P00035,3,68.85,0.1,completed
O00000092,C000008,2024-09-16 00:00:00,P00072,2,9.08,0.0,completed
O00000093,C000008,2024-10-10 23:00:00,P00010,2,34.94,0.0,completed
O00000094,C000009,2025-05-15 04:00:00,P00069,2,351.54,0.0,completed
O00000095,C000009,2025-11-01 07:00:00,P00051,1,33.84,0.2,completed
O00000096,C000010,2024-06-26 22:00:00,P00041,3,48.09,0.1,completed
O00000097,C000010,2024-06-29 06:00:00,P00053,1,39.49,0.0,completed
O00000098,C000010,2024-06-30 13:00:00,P00007,2,85.81,0.2,completed
O00000099,C000010,2024-07-06 09:00:00,P00076,2,114.32,0.1,completed
O00000100,C000010,2024-07-14 13:00:00,P00024,3,53.68,0.1,completed
O00000101,C000010,2024-07-29 13:00:00,P00069,3,527.31,0.0,completed
O00000102,C000010,2024-08-06 13:00:00,P00046,2,90.86,0.1,completed
O00000103,C000010,2024-08-22 17:00:00,P00038,2,89.06,0.0,completed
O00000104,C000010,2024-08-26 16:00:00,P00077,1,43.29,0.0,completed
O00000105,C000010,2024-08-30 07:00:00,P00007,1,42.9,0.2,completed
O00000106,C000010,2024-09-09 18:00:00,P00079,3,116.49,0.0,completed
O00000107,C000010,2024-09-15 10:00:00,P00067,1,10.06,0.2,completed
O00000108,C000010,2024-09-20 02:00:00,P00027,2,37.06,0.0,completed
O00000109,C000010,2024-09-21 23:00:00,P00019,1,17.0,0.0,completed
O00000110,C000010,2024-10-11 03:00:00,P00029,2,53.68,0.0,completed
O00000111,C000010,2024-10-12 22:00:00,P00060,2,72.38,0.0,completed
O00000112,C000010,2024-10-15 01:00:00,P00008,1,14.24,0.0,completed
O00000113,C000010,2024-10-22 02:00:00,P00044,3,112.5,0.0,completed
O00000114,C000010,2024-10-24 22:00:00,P00007,2,107.26,0.0,completed
O00000115,C000010,2024-10-25 17:00:00,P00003,3,72.48,0.0,completed
O00000116,C000010,2024-10-28 13:00:00,P00038,1,44.53,0.0,completed
O00000117,C000010,2024-10-31 14:00:00,P00000,1,45.53,0.0,completed
O00000118,C000010,2024-10-31 23:00:00,P00056,3,66.15,0.0,completed
O00000119,C000010,2024-11-02 14:00:00,P00010,3,41.93,0.2,completed
O00000120,C000010,2024-11-02 03:00:00,P00069,3,527.31,0.0,completed
O00000121,C000010,2024-11-04 15:00:00,P00021,2,14.54,0.2,completed
O00000122,C000010,2024-11-05 17:00:00,P00069,1,158.19,0.1,completed
O00000123,C000010,2024-11-20 10:00:00,P00021,3,27.27,0.0,completed
O00000124,C000010,2024-11-22 07:00:00,P00033,3,43.06,0.1,completed
O00000125,C000010,2024-12-08 19:00:00,P00017,2,9.94,0.0,completed
O00000126,C000010,2024-12-19 04:00:00,P00057,3,151.33,0.1,cancelled
O00000127,C000010,2024-12-19 15:00:00,P00069,2,316.39,0.1,completed
O00000128,C000010,2025-01-12 19:00:00,P00077,3,116.88,0.1,completed
O00000129,C000010,2025-01-16 17:00:00,P00042,3,105.22,0.1,completed
O00000130,C000010,2025-01-24 03:00:00,P00014,1,10.24,0.0,completed
O00000131,C000010,2025-02-16 19:00:00,P00009,2,67.24,0.0,completed
O00000132,C000010,2025-03-01 14:00:00,P00018,1,12.44,0.0,completed
O00000133,C000010,2025-03-23 10:00:00,P00008,1,12.82,0.1,completed
O00000134,C000010,2025-03-29 04:00:00,P00030,3,33.42,0.0,completed
O00000135,C000010,2025-03-30 02:00:00,P00047,3,68.38,0.2,completed
O00000136,C000010,2025-03-31 08:00:00,P00060,1,36.19,0.0,completed
O00000137,C000010,2025-03-31 02:00:00,P00053,3,118.47,0.0,completed
O00000138,C000010,2025-04-02 02:00:00,P00026,3,75.09,0.1,completed
O00000139,C000010,2025-04-27 15:00:00,P00057,1,56.05,0.0,completed
O00000140,C000010,2025-05-05 22:00:00,P00002,3,97.62,0.0,completed
O00000141,C000010,2025-05-17 11:00:00,P00052,1,12.14,0.0,completed
O00000142,C000010,2025-05-18 23:00:00,P00073,1,19.18,0.1,completed
O00000143,C000010,2025-05-29 19:00:00,P00050,3,150.75,0.0,completed
O00000144,C000010,2025-05-30 03:00:00,P00066,2,14.86,0.0,completed
O00000145,C000010,2025-06-01 01:00:00,P00062,1,32.33,0.0,completed
O00000146,C000010,2025-06-02 08:00:00,P00008,2,22.78,0.2,completed
O00000147,C000010,2025-06-18 01:00:00,P00006,1,25.66,0.2,completed
O00000148,C000010,2025-06-22 03:00:00,P00059,1,13.42,0.0,completed
O00000149,C000010,2025-06-23 18:00:00,P00052,2,21.85,0.1,completed
O00000150,C000010,2025-07-02 02:00:00,P00002,3,97.62,0.0,completed
O00000151,C000010,2025-07-14 23:00:00,P00014,2,16.38,0.2,completed
O00000152,C000010,2025-07-17 05:00:00,P00017,3,11.93,0.2,completed
O00000153,C000010,2025-07-17 20:00:00,P00015,1,8.72,0.2,completed
O00000154,C000010,2025-08-15 01:00:00,P00000,2,91.06,0.0,completed
O00000155,C000010,2025-08-20 10:00:00,P00061,1,16.95,0.0,completed
O00000156,C000010,2025-08-26 03:00:00,P00029,3,80.52,0.0,completed
O00000157,C000010,2025-08-28 21:00:00,P00079,2,77.66,0.0,completed
O00000158,C000010,2025-08-30 01:00:00,P00024,1,19.88,0.0,completed
O00000159,C000010,2025-09-05 00:00:00,P00025,2,49.21,0.1,completed
O00000160,C000010,2025-09-17 23:00:00,P00049,1,44.42,0.0,completed
O00000161,C000010,2025-09-18 17:00:00,P00041,1,17.81,0.0,completed
O00000162,C000010,2025-10-08 19:00:00,P00012,2,26.14,0.0,completed
O00000163,C000010,2025-10-19 04:00:00,P00056,1,22.05,0.0,completed
O00000164,C000010,2025-10-24 13:00:00,P00028,2,29.94,0.0,completed
O00000165,C000010,2025-10-26 06:00:00,P00075,2,38.8,0.2,completed
O00000166,C000010,2025-11-24 00:00:00,P00000,1,45.53,0.0,completed
O00000167,C000010,2025-12-26 08:00:00,P00051,1,38.07,0.1,completed
O00000168,C000010,2026-01-07 14:00:00,P00008,1,14.24,0.0,completed
O00000169,C000010,2026-01-09 04:00:00,P00056,1,17.64,0.2,completed
O00000170,C000010,2026-01-14 21:00:00,P00003,3,72.48,0.0,completed
O00000171,C000010,2026-01-28 12:00:00,P00022,1,21.1,0.1,completed
O00000172,C000010,2026-01-28 23:00:00,P00059,1,13.42,0.0,completed
O00000173,C000010,2026-01-30 10:00:00,P00029,3,80.52,0.0,completed
O00000174,C000010,2026-02-20 07:00:00,P00024,1,15.9,0.2,completed
O00000175,C000010,2026-02-22 12:00:00,P00071,1,21.61,0.0,completed
O00000176,C000010,2026-03-02 05:00:00,P00013,2,39.42,0.0,completed
O00000177,C000010,2026-03-07 08:00:00,P00003,2,48.32,0.0,completed
O00000178,C000010,2026-03-11 03:00:00,P00016,1,12.77,0.0,completed
O00000179,C000010,2026-03-23 02:00:00,P00044,2,75.0,0.0,completed
O00000180,C000010,2026-04-26 23:00:00,P00041,3,48.09,0.1,completed
O00000181,C000010,2026-04-28 19:00:00,P00010,1,17.47,0.0,cancelled
O00000182,C000010,2026-05-02 18:00:00,P00018,1,12.44,0.0,completed
O00000183,C000010,2026-05-12 19:00:00,P00003,3,72.48,0.0,completed
O00000184,C000010,2026-05-16 17:00:00,P00052,2,21.85,0.1,completed
O00000185,C000010,2026-05-16 17:00:00,P00011,3,44.93,0.2,completed
O00000186,C000010,2026-05-26 03:00:00,P00070,3,20.55,0.0,completed
O00000187,C000010,2026-06-14 15:00:00,P00037,2,45.22,0.1,completed
O00000188,C000010,2026-06-18 11:00:00,P00042,3,105.22,0.1,completed
O00000189,C000010,2026-06-24 11:00:00,P00048,3,107.25,0.0,completed
O00000190,C000011,2025-06-29 01:00:00,P00052,3,32.78,0.1,completed
O00000191,C000011,2025-07-30 11:00:00,P00051,1,38.07,0.1,completed
O00000192,C000011,2025-08-22 21:00:00,P00049,3,133.26,0.0,completed
O00000193,C000011,2025-10-03 21:00:00,P00072,3,13.62,0.0,completed
O00000194,C000011,2025-10-28 10:00:00,P00026,2,55.62,0.0,completed
O00000195,C000011,2026-04-24 14:00:00,P00007,2,96.53,0.1,completed
O00000196,C000011,2026-05-04 02:00:00,P00077,3,129.87,0.0,completed
O00000197,C000011,2026-06-22 05:00:00,P00003,3,65.23,0.1,completed
O00000198,C000012,2024-10-30 14:00:00,P00062,2,51.73,0.2,completed
O00000199,C000012,2024-11-16 14:00:00,P00031,3,14.79,0.0,completed
O00000200,C000012,2024-11-30 09:00:00,P00029,2,48.31,0.1,completed
O00000201,C000012,2025-01-14 11:00:00,P00063,2,51.52,0.0,completed
O00000202,C000012,2025-01-24 00:00:00,P00036,3,36.22,0.2,completed
O00000203,C000012,2025-02-20 10:00:00,P00049,3,133.26,0.0,completed
O00000204,C000012,2025-03-03 02:00:00,P00074,3,35.88,0.2,completed
O00000205,C000012,2025-03-09 15:00:00,P00046,2,90.86,0.1,completed
O00000206,C000012,2025-04-03 00:00:00,P00071,2,43.22,0.0,completed
O00000207,C000012,2025-06-13 08:00:00,P00055,1,9.19,0.1,completed
O00000208,C000012,2025-06-18 10:00:00,P00022,2,46.88,0.0,completed
O00000209,C000012,2025-06-20 21:00:00,P00003,2,38.66,0.2,completed
O00000210,C000012,2025-07-04 09:00:00,P00078,3,55.44,0.0,completed
O00000211,C000012,2025-08-19 01:00:00,P00018,2,24.88,0.0,completed
O00000212,C000012,2025-09-27 14:00:00,P00072,2,9.08,0.0,completed
O00000213,C000012,2025-10-07 21:00:00,P00029,2,53.68,0.0,completed
O00000214,C000012,2025-10-17 10:00:00,P00008,2,28.48,0.0,completed
O00000215,C000012,2025-10-28 21:00:00,P00064,2,19.23,0.2,completed
O00000216,C000012,2026-01-17 11:00:00,P00051,1,42.3,0.0,completed
O00000217,C000012,2026-03-01 16:00:00,P00005,2,45.14,0.0,refunded
O00000218,C000012,2026-05-07 13:00:00,P00020,3,74.47,0.2,completed
O00000219,C000012,2026-06-13 19:00:00,P00025,1,21.87,0.2,completed
O00000220,C000013,2025-04-24 17:00:00,P00070,1,6.85,0.0,completed
O00000221,C000013,2025-05-10 03:00:00,P00008,2,28.48,0.0,completed
O00000222,C000013,2025-05-31 22:00:00,P00001,3,54.87,0.0,completed
O00000223,C000013,2025-06-28 23:00:00,P00035,2,40.8,0.2,completed
O00000224,C000013,2025-08-14 20:00:00,P00033,1,15.95,0.0,completed
O00000225,C000013,2025-08-24 11:00:00,P00056,1,19.85,0.1,completed
O00000226,C000013,2025-09-04 12:00:00,P00068,3,110.79,0.0,cancelled
O00000227,C000013,2025-09-24 08:00:00,P00008,3,42.72,0.0,completed
O00000228,C000013,2025-10-08 11:00:00,P00036,3,40.74,0.1,completed
O00000229,C000013,2025-12-02 21:00:00,P00026,2,44.5,0.2,completed
O00000230,C000014,2024-08-04 22:00:00,P00019,2,34.0,0.0,completed
O00000231,C000014,2024-09-11 11:00:00,P00017,1,4.97,0.0,completed
O00000232,C000014,2024-10-03 08:00:00,P00048,3,107.25,0.0,completed
O00000233,C000014,2025-03-15 07:00:00,P00023,1,25.02,0.2,completed
O00000234,C000015,2024-04-02 14:00:00,P00010,3,41.93,0.2,completed
O00000235,C000015,2024-04-21 22:00:00,P00075,2,38.8,0.2,completed
O00000236,C000015,2024-04-23 23:00:00,P00059,3,40.26,0.0,completed
O00000237,C000015,2024-05-15 23:00:00,P00013,2,39.42,0.0,completed
O00000238,C000015,2024-05-19 22:00:00,P00070,3,16.44,0.2,completed
O00000239,C000015,2024-06-04 00:00:00,P00036,1,15.09,0.0,completed
O00000240,C000015,2024-07-01 04:00:00,P00028,2,23.95,0.2,completed
O00000241,C000015,2024-08-21 05:00:00,P00065,2,104.26,0.0,refunded
O00000242,C000015,2024-08-27 16:00:00,P00048,3,107.25,0.0,completed
O00000243,C000015,2024-09-24 14:00:00,P00041,1,17.81,0.0,completed
O00000244,C000015,2024-09-29 18:00:00,P00039,3,62.46,0.0,completed
O00000245,C000016,2024-10-03 23:00:00,P00030,3,30.08,0.1,refunded
O00000246,C000016,2024-10-03 06:00:00,P00039,1,20.82,0.0,completed
O00000247,C000016,2024-12-14 10:00:00,P00073,2,42.62,0.0,completed
O00000248,C000016,2024-12-22 17:00:00,P00010,2,34.94,0.0,completed
O00000249,C000016,2025-01-05 06:00:00,P00047,2,56.98,0.0,completed
O00000250,C000016,2025-01-29 06:00:00,P00045,1,12.82,0.2,completed
O00000251,C000016,2025-02-01 17:00:00,P00036,2,24.14,0.2,completed
O00000252,C000016,2025-02-25 01:00:00,P00062,2,58.19,0.1,completed
O00000253,C000016,2025-02-26 19:00:00,P00059,2,26.84,0.0,completed
O00000254,C000016,2025-03-07 20:00:00,P00072,1,4.54,0.0,completed
O00000255,C000016,2025-04-06 02:00:00,P00078,1,16.63,0.1,completed
O00000256,C000016,2025-04-17 14:00:00,P00068,1,33.24,0.1,completed
O00000257,C000016,2025-04-25 05:00:00,P00028,1,13.47,0.1,completed
O00000258,C000016,2025-05-12 04:00:00,P00014,2,20.48,0.0,completed
O00000259,C000016,2025-06-04 00:00:00,P00041,2,28.5,0.2,cancelled
O00000260,C000016,2025-07-17 16:00:00,P00036,2,30.18,0.0,completed
O00000261,C000016,2025-08-28 16:00:00,P00036,3,45.27,0.0,completed
O00000262,C000016,2025-08-30 06:00:00,P00000,2,91.06,0.0,completed
O00000263,C000016,2025-10-14 15:00:00,P00071,3,64.83,0.0,completed
O00000264,C000016,2025-11-22 00:00:00,P00030,3,33.42,0.0,completed
O00000265,C000016,2025-12-04 05:00:00,P00043,1,8.62,0.0,refunded
O00000266,C000016,2025-12-11 08:00:00,P00042,2,70.15,0.1,completed
O00000267,C000016,2026-02-10 15:00:00,P00076,1,63.51,0.0,completed
O00000268,C000016,2026-02-22 15:00:00,P00058,2,39.08,0.1,completed
O00000269,C000016,2026-02-23 10:00:00,P00017,3,14.91,0.0,completed
O00000270,C000016,2026-03-06 07:00:00,P00022,3,63.29,0.1,completed
O00000271,C000016,2026-03-07 16:00:00,P00023,2,56.29,0.1,completed
O00000272,C000016,2026-03-29 10:00:00,P00032,2,25.7,0.1,completed
O00000273,C000016,2026-05-02 19:00:00,P00040,3,33.34,0.1,completed
O00000274,C000017,2024-02-26 07:00:00,P00017,1,4.47,0.1,completed
O00000275,C000017,2024-02-28 13:00:00,P00067,1,12.58,0.0,completed
O00000276,C000017,2024-04-13 15:00:00,P00052,2,21.85,0.1,completed
O00000277,C000017,2024-06-04 02:00:00,P00043,3,25.86,0.0,completed
O00000278,C000017,2024-06-21 05:00:00,P00031,1,4.93,0.0,completed
O00000279,C000018,2025-03-20 15:00:00,P00036,3,40.74,0.1,completed
O00000280,C000018,2025-04-11 23:00:00,P00022,1,23.44,0.0,completed
O00000281,C000018,2025-05-27 09:00:00,P00079,1,38.83,0.0,completed
O00000282,C000018,2025-07-11 02:00:00,P00074,3,44.85,0.0,completed
O00000283,C000018,2025-08-02 04:00:00,P00020,2,62.06,0.0,completed
O00000284,C000018,2025-09-02 15:00:00,P00016,1,12.77,0.0,completed
O00000285,C000018,2025-09-24 13:00:00,P00069,1,175.77,0.0,completed
O00000286,C000018,2026-01-09 11:00:00,P00017,3,14.91,0.0,completed
O00000287,C000018,2026-02-25 21:00:00,P00017,1,4.97,0.0,completed
O00000288,C000018,2026-06-19 20:00:00,P00010,1,17.47,0.0,cancelled
O00000289,C000018,2026-06-29 01:00:00,P00050,1,50.25,0.0,completed
O00000290,C000019,2024-12-06 12:00:00,P00038,2,89.06,0.0,completed
O00000291,C000019,2024-12-11 16:00:00,P00075,1,24.25,0.0,completed
O00000292,C000019,2025-02-01 09:00:00,P00029,2,48.31,0.1,completed
O00000293,C000019,2025-03-16 20:00:00,P00033,2,28.71,0.1,completed
O00000294,C000019,2025-04-08 13:00:00,P00004,3,55.5,0.0,completed
O00000295,C000019,2025-04-09 03:00:00,P00005,3,60.94,0.1,completed
O00000296,C000019,2025-04-23 16:00:00,P00044,3,90.0,0.2,completed
O00000297,C000019,2025-05-03 13:00:00,P00010,3,52.41,0.0,completed
O00000298,C000019,2025-05-04 23:00:00,P00026,2,55.62,0.0,completed
O00000299,C000019,2025-05-14 19:00:00,P00076,2,127.02,0.0,cancelled
O00000300,C000019,2025-05-16 19:00:00,P00023,3,84.43,0.1,completed
O00000301,C000019,2025-05-17 08:00:00,P00075,1,21.82,0.1,completed
O00000302,C000019,2025-06-30 09:00:00,P00033,2,31.9,0.0,completed
O00000303,C000019,2025-09-07 14:00:00,P00073,1,19.18,0.1,completed
O00000304,C000019,2025-10-12 19:00:00,P00027,1,18.53,0.0,completed
O00000305,C000019,2025-11-01 05:00:00,P00060,3,97.71,0.1,completed
O00000306,C000019,2025-11-05 06:00:00,P00011,2,33.7,0.1,cancelled
O00000307,C000019,2025-11-09 23:00:00,P00054,2,14.61,0.2,completed
O00000308,C000019,2025-11-25 16:00:00,P00026,1,27.81,0.0,completed
O00000309,C000019,2025-11-27 11:00:00,P00067,1,10.06,0.2,completed
O00000310,C000019,2025-12-04 04:00:00,P00036,2,30.18,0.0,completed
O00000311,C000019,2025-12-17 07:00:00,P00035,3,61.2,0.2,completed
O00000312,C000019,2025-12-30 10:00:00,P00052,2,24.28,0.0,completed
O00000313,C000019,2025-12-31 19:00:00,P00043,2,15.52,0.1,completed
O00000314,C000019,2026-02-05 14:00:00,P00044,3,112.5,0.0,completed
O00000315,C000019,2026-02-27 08:00:00,P00071,1,19.45,0.1,completed
O00000316,C000019,2026-04-18 19:00:00,P00059,1,10.74,0.2,completed
O00000317,C000019,2026-04-25 15:00:00,P00004,2,33.3,0.1,completed
O00000318,C000019,2026-06-05 22:00:00,P00076,2,101.62,0.2,completed
O00000319,C000019,2026-06-14 12:00:00,P00045,3,38.45,0.2,completed
O00000320,C000019,2026-06-23 23:00:00,P00005,2,40.63,0.1,completed
O00000321,C000020,2025-01-14 00:00:00,P00076,1,63.51,0.0,completed
O00000322,C000020,2025-01-26 12:00:00,P00075,2,48.5,0.0,completed
O00000323,C000020,2025-02-14 21:00:00,P00046,2,100.96,0.0,completed
O00000324,C000020,2025-02-17 02:00:00,P00019,3,40.8,0.2,completed
O00000325,C000020,2025-04-04 22:00:00,P00016,1,10.22,0.2,completed
O00000326,C000020,2025-04-13 17:00:00,P00022,2,46.88,0.0,completed
O00000327,C000020,2025-04-27 16:00:00,P00053,3,94.78,0.2,completed
O00000328,C000020,2025-04-27 08:00:00,P00026,1,25.03,0.1,completed
O00000329,C000020,2025-05-01 15:00:00,P00048,3,107.25,0.0,completed
O00000330,C000020,2025-05-03 18:00:00,P00054,3,27.39,0.0,completed
O00000331,C000020,2025-05-06 14:00:00,P00040,2,24.7,0.0,completed
O00000332,C000020,2025-05-09 16:00:00,P00044,3,112.5,0.0,completed
O00000333,C000020,2025-06-03 05:00:00,P00029,1,26.84,0.0,completed
O00000334,C000020,2025-06-20 22:00:00,P00059,3,40.26,0.0,completed
O00000335,C000020,2025-07-03 07:00:00,P00044,1,33.75,0.1,completed
O00000336,C000020,2025-07-03 17:00:00,P00049,3,133.26,0.0,completed
O00000337,C000020,2025-07-06 19:00:00,P00075,2,48.5,0.0,refunded
O00000338,C000020,2025-07-14 04:00:00,P00059,1,13.42,0.0,completed
O00000339,C000020,2025-08-23 12:00:00,P00044,2,67.5,0.1,completed
O00000340,C000020,2025-09-03 06:00:00,P00069,1,140.62,0.2,cancelled
O00000341,C000020,2025-10-08 01:00:00,P00005,1,18.06,0.2,completed
O00000342,C000020,2025-10-10 21:00:00,P00043,1,6.9,0.2,completed
O00000343,C000020,2025-10-11 16:00:00,P00079,2,77.66,0.0,completed
O00000344,C000020,2025-11-01 05:00:00,P00020,2,62.06,0.0,completed
O00000345,C000020,2025-11-03 10:00:00,P00050,2,100.5,0.0,completed
O00000346,C000020,2025-11-11 13:00:00,P00032,3,38.56,0.1,completed
O00000347,C000020,2025-11-24 03:00:00,P00009,3,100.86,0.0,completed
O00000348,C000020,2025-12-03 16:00:00,P00012,2,23.53,0.1,completed
O00000349,C000020,2025-12-05 11:00:00,P00001,1,16.46,0.1,completed
O00000350,C000020,2025-12-07 02:00:00,P00073,2,42.62,0.0,completed
O00000351,C000020,2025-12-25 12:00:00,P00019,3,40.8,0.2,completed
O00000352,C000020,2026-01-11 04:00:00,P00035,2,51.0,0.0,refunded
O00000353,C000020,2026-01-15 14:00:00,P00043,1,6.9,0.2,completed
O00000354,C000020,2026-02-18 14:00:00,P00066,1,6.69,0.1,completed
O00000355,C000020,2026-03-09 21:00:00,P00057,3,168.15,0.0,completed
O00000356,C000020,2026-03-23 13:00:00,P00075,3,72.75,0.0,completed
