ticket_id,customer_id,created_at,category
T0000079,C000043,2024-06-11 11:00:00,shipping
T0000080,C000045,2025-07-09 04:00:00,billing
T0000081,C000045,2025-07-27 06:00:00,cancellation_request
T0000082,C000045,2025-10-17 01:00:00,general
T0000083,C000045,2025-12-10 10:00:00,billing
T0000084,C000046,2025-02-24 11:00:00,billing
T0000085,C000046,2025-03-14 09:00:00,product_issue
T0000086,C000046,2025-06-22 21:00:00,shipping
T0000087,C000047,2025-11-05 23:00:00,product_issue
T0000088,C000047,2026-05-16 10:00:00,product_issue
T0000089,C000048,2025-01-08 02:00:00,billing
T0000090,C000048,2025-09-02 21:00:00,product_issue
T0000091,C000049,2025-02-09 09:00:00,billing
T0000092,C000051,2024-02-04 15:00:00,cancellation_request
T0000093,C000051,2024-02-16 14:00:00,cancellation_request
T0000094,C000052,2026-03-01 19:00:00,cancellation_request
T0000095,C000053,2024-11-10 03:00:00,product_issue
T0000096,C000053,2025-06-30 10:00:00,general
T0000097,C000053,2026-05-29 21:00:00,billing
T0000098,C000054,2025-01-30 01:00:00,cancellation_request
T0000099,C000055,2025-08-07 07:00:00,cancellation_request
T0000100,C000055,2025-12-06 21:00:00,cancellation_request
T0000101,C000056,2024-12-30 08:00:00,cancellation_request
T0000102,C000057,2024-10-31 11:00:00,shipping
T0000103,C000057,2025-11-02 10:00:00,cancellation_request
T0000104,C000058,2024-08-20 18:00:00,cancellation_request
T0000105,C000058,2025-07-15 19:00:00,billing
T0000106,C000059,2024-02-29 21:00:00,billing
T0000107,C000059,2025-03-06 19:00:00,shipping
T0000108,C000059,2025-07-19 20:00:00,shipping
T0000109,C000060,2025-02-18 18:00:00,shipping
T0000110,C000060,2025-05-07 00:00:00,billing
T0000111,C000060,2025-10-16 02:00:00,shipping
T0000112,C000060,2026-02-16 19:00:00,product_issue
T0000113,C000060,2026-03-04 22:00:00,shipping
T0000114,C000061,2024-12-07 03:00:00,cancellation_request
T0000115,C000061,2025-06-22 22:00:00,shipping
T0000116,C000063,2025-09-13 05:00:00,shipping
T0000117,C000064,2025-04-07 03:00:00,product_issue
T0000118,C000064,2026-05-30 18:00:00,shipping
T0000119,C000068,2024-06-15 06:00:00,product_issue
T0000120,C000068,2024-09-11 02:00:00,product_issue
T0000121,C000068,2024-11-17 23:00:00,billing
T0000122,C000068,2025-09-19 19:00:00,billing
T0000123,C000068,2025-10-02 06:00:00,shipping
T0000124,C000069,2024-10-09 20:00:00,shipping
T0000125,C000069,2026-02-18 23:00:00,product_issue
T0000126,C000069,2026-03-05 17:00:00,shipping
T0000127,C000070,2024-04-28 13:00:00,billing
T0000128,C000070,2025-05-02 11:00:00,cancellation_request
T0000129,C000071,2024-12-27 06:00:00,general
T0000130,C000072,2025-04-17 00:00:00,billing
T0000131,C000072,2025-07-05 23:00:00,product_issue
T0000132,C000072,2025-07-19 23:00:00,shipping
T0000133,C000072,2025-11-06 11:00:00,billing
T0000134,C000072,2025-12-28 18:00:00,product_issue
T0000135,C000073,2024-06-08 08:00:00,shipping
T0000136,C000074,2024-09-11 01:00:00,general
T0000137,C000074,2026-03-06 20:00:00,product_issue
T0000138,C000074,2026-04-14 01:00:00,shipping
T0000139,C000076,2024-06-10 12:00:00,cancellation_request
T0000140,C000077,2024-11-06 09:00:00,billing
T0000141,C000077,2025-06-29 18:00:00,product_issue
T0000142,C000078,2025-02-07 13:00:00,cancellation_request
T0000143,C000078,2025-03-06 18:00:00,cancellation_request
T0000144,C000079,2025-05-09 03:00:00,product_issue
T0000145,C000081,2024-10-30 01:00:00,shipping
T0000146,C000081,2025-07-30 05:00:00,general
T0000147,C000082,2025-04-26 00:00:00,product_issue
T0000148,C000082,2025-08-04 16:00:00,billing
T0000149,C000082,2025-12-11 09:00:00,shipping
T0000150,C000083,2024-06-11 19:00:00,product_issue
T0000151,C000083,2024-10-18 07:00:00,shipping
T0000152,C000083,2024-10-31 08:00:00,shipping
T0000153,C000083,2025-05-30 05:00:00,shipping
T0000154,C000083,2025-09-29 23:00:00,cancellation_request
T0000155,C000083,2025-10-29 00:00:00,cancellation_request
T0000156,C000084,2024-04-11 22:00:00,billing
T0000157,C000084,2025-07-25 23:00:00,product_issue
T0000158,C000084,2025-08-18 15:00:00,general
T0000159,C000085,2024-04-09 01:00:00,shipping
T0000160,C000085,2025-01-15 19:00:00,general
T0000161,C000085,2025-03-27 14:00:00,billing
T0000162,C000085,2025-06-26 07:00:00,shipping
T0000163,C000085,2025-10-10 05:00:00,billing
T0000164,C000086,2025-06-22 20:00:00,product_issue
T0000165,C000086,2025-09-14 09:00:00,billing
T0000166,C000086,2025-10-11 17:00:00,product_issue
T0000167,C000087,2026-02-15 06:00:00,general
T0000168,C000089,2025-07-27 20:00:00,shipping
T0000169,C000089,2025-09-08 17:00:00,cancellation_request
T0000170,C000089,2025-10-16 10:00:00,shipping
T0000171,C000090,2024-03-07 13:00:00,billing
T0000172,C000090,2024-07-09 17:00:00,shipping
T0000173,C000090,2024-10-29 01:00:00,cancellation_request
T0000174,C000090,2025-03-12 09:00:00,billing
T0000175,C000091,2025-07-17 05:00:00,product_issue
T0000176,C000091,2025-12-07 12:00:00,general
T0000177,C000092,2025-09-13 03:00:00,product_issue
T0000178,C000092,2026-04-16 02:00:00,product_issue
T0000179,C000093,2024-08-10 19:00:00,cancellation_request
T0000180,C000093,2024-08-12 22:00:00,shipping
T0000181,C000094,2024-05-11 01:00:00,product_issue
T0000182,C000094,2024-10-27 11:00:00,billing
T0000183,C000094,2025-01-03 15:00:00,general
T0000184,C000094,2025-02-28 02:00:00,product_issue
T0000185,C000094,2025-10-23 12:00:00,cancellation_request
T0000186,C000094,2026-01-09 07:00:00,product_issue
T0000187,C000095,2025-06-12 20:00:00,billing
T0000188,C000097,2024-03-05 03:00:00,cancellation_request
T0000189,C000097,2024-04-22 07:00:00,cancellation_request
T0000190,C000097,2024-08-01 23:00:00,billing
T0000191,C000097,2024-08-22 05:00:00,billing
T0000192,C000097,2024-10-12 13:00:00,cancellation_request
T0000193,C000098,2024-04-08 14:00:00,billing
T0000194,C000099,2026-02-04 07:00:00,shipping
T0000195,C000101,2025-02-18 05:00:00,billing
T0000196,C000101,2025-04-11 18:00:00,billing
T0000197,C000101,2025-11-22 22:00:00,billing
T0000198,C000101,2026-01-18 19:00:00,billing
T0000199,C000101,2026-01-27 02:00:00,product_issue
T0000200,C000101,2026-04-14 01:00:00,product_issue
T0000201,C000102,2024-08-20 11:00:00,shipping
T0000202,C000102,2025-02-16 22:00:00,product_issue
T0000203,C000103,2026-01-03 13:00:00,general
T0000204,C000103,2026-06-17 14:00:00,shipping
T0000205,C000104,2025-04-23 14:00:00,shipping
T0000206,C000104,2026-01-25 04:00:00,shipping
T0000207,C000105,2024-12-26 21:00:00,billing
T0000208,C000105,2026-06-03 01:00:00,product_issue
T0000209,C000106,2024-09-28 05:00:00,general
T0000210,C000106,2025-03-03 17:00:00,shipping
T0000211,C000107,2026-02-21 09:00:00,shipping
T0000212,C000108,2024-07-14 19:00:00,cancellation_request
T0000213,C000109,2025-11-14 13:00:00,billing
T0000214,C000110,2024-09-10 22:00:00,shipping
T0000215,C000110,2024-11-25 12:00:00,cancellation_request
T0000216,C000111,2025-06-21 22:00:00,shipping
T0000217,C000111,2025-08-10 18:00:00,billing
T0000218,C000113,2025-01-28 15:00:00,shipping
T0000219,C000114,2025-02-19 21:00:00,shipping
T0000220,C000115,2025-11-28 18:00:00,shipping
T0000221,C000115,2026-02-05 16:00:00,general
T0000222,C000117,2025-08-04 02:00:00,billing
T0000223,C000117,2025-08-16 07:00:00,product_issue
T0000224,C000117,2026-01-22 08:00:00,shipping
T0000225,C000117,2026-03-15 12:00:00,product_issue
T0000226,C000118,2024-07-28 22:00:00,billing
T0000227,C000118,2024-09-08 10:00:00,cancellation_request
T0000228,C000118,2025-06-24 16:00:00,billing
T0000229,C000118,2025-07-04 07:00:00,billing
T0000230,C000118,2025-07-23 00:00:00,shipping
T0000231,C000118,2026-03-30 15:00:00,product_issue
T0000232,C000118,2026-05-11 15:00:00,general
T0000233,C000119,2024-12-03 16:00:00,cancellation_request
T0000234,C000119,2025-04-05 04:00:00,general
T0000235,C000120,2025-04-15 19:00:00,shipping
T0000236,C000120,2025-08-10 08:00:00,shipping
T0000237,C000122,2024-04-23 18:00:00,billing
T0000238,C000122,2025-02-19 12:00:00,product_issue
T0000239,C000123,2024-09-14 22:00:00,billing
T0000240,C000123,2024-12-06 02:00:00,shipping
T0000241,C000124,2024-03-12 19:00:00,cancellation_request
T0000242,C000126,2024-08-28 14:00:00,shipping
T0000243,C000126,2024-10-26 05:00:00,shipping
T0000244,C000128,2024-06-23 12:00:00,billing
T0000245,C000128,2024-11-29 14:00:00,billing
T0000246,C000128,2025-05-13 15:00:00,billing
T0000247,C000129,2025-01-13 03:00:00,shipping
T0000248,C000129,2025-03-30 06:00:00,cancellation_request
T0000249,C000130,2024-09-04 10:00:00,shipping
T0000250,C000132,2024-09-18 12:00:00,product_issue
T0000251,C000132,2025-10-22 06:00:00,product_issue
T0000252,C000132,2025-11-26 21:00:00,product_issue
T0000253,C000133,2024-05-26 17:00:00,billing
T0000254,C000133,2025-02-10 22:00:00,product_issue
T0000255,C000133,2025-02-17 07:00:00,billing
T0000256,C000135,2025-02-04 05:00:00,shipping
T0000257,C000135,2025-09-02 20:00:00,cancellation_request
T0000258,C000135,2026-04-04 18:00:00,shipping
T0000259,C000136,2025-09-11 00:00:00,cancellation_request
T0000260,C000137,2024-07-25 08:00:00,billing
T0000261,C000137,2024-08-19 01:00:00,shipping
T0000262,C000137,2025-03-18 02:00:00,cancellation_request
T0000263,C000138,2026-02-19 07:00:00,billing
T0000264,C000138,2026-03-21 19:00:00,product_issue
T0000265,C000140,2024-12-31 18:00:00,cancellation_request
T0000266,C000140,2025-05-18 14:00:00,cancellation_request
T0000267,C000141,2026-06-03 14:00:00,product_issue
T0000268,C000142,2025-10-01 06:00:00,cancellation_request
T0000269,C000144,2026-06-02 10:00:00,cancellation_request
T0000270,C000145,2024-09-30 09:00:00,cancellation_request
T0000271,C000145,2025-03-22 19:00:00,general
T0000272,C000146,2024-08-25 21:00:00,cancellation_request
T0000273,C000146,2025-01-04 17:00:00,cancellation_request
T0000274,C000146,2025-03-09 19:00:00,shipping
T0000275,C000147,2024-09-15 11:00:00,general
T0000276,C000147,2025-01-27 00:00:00,shipping
T0000277,C000149,2024-04-10 00:00:00,product_issue
T0000278,C000149,2024-12-17 17:00:00,product_issue
T0000279,C000149,2025-02-18 03:00:00,shipping
T0000280,C000149,2025-10-01 17:00:00,general
T0000281,C000149,2025-12-08 20:00:00,product_issue
T0000282,C000149,2025-12-23 12:00:00,product_issue
T0000283,C000150,2025-07-30 12:00:00,billing
T0000284,C000152,2024-05-22 20:00:00,product_issue
T0000285,C000152,2025-01-08 17:00:00,cancellation_request
T0000286,C000152,2025-02-12 13:00:00,general
T0000287,C000153,2025-02-03 10:00:00,general
T0000288,C000153,2025-12-10 14:00:00,billing
T0000289,C000156,2024-08-15 18:00:00,billing
T0000290,C000156,2025-10-15 20:00:00,billing
T0000291,C000157,2025-11-13 00:00:00,shipping
T0000292,C000158,2025-04-20 15:00:00,billing
T0000293,C000160,2025-04-06 13:00:00,billing
T0000294,C000160,2025-05-06 16:00:00,cancellation_request
T0000295,C000160,2026-02-22 21:00:00,product_issue
T0000296,C000160,2026-04-28 15:00:00,shipping
T0000297,C000161,2025-08-22 01:00:00,billing
T0000298,C000161,2025-09-02 23:00:00,billing
T0000299,C000162,2024-04-23 07:00:00,product_issue
T0000300,C000162,2024-04-29 19:00:00,product_issue
T0000301,C000162,2025-11-27 17:00:00,product_issue
T0000302,C000162,2025-12-10 08:00:00,product_issue
T0000303,C000162,2025-12-13 08:00:00,billing
T0000304,C000163,2024-11-14 08:00:00,shipping
T0000305,C000163,2024-12-25 12:00:00,general
T0000306,C000163,2025-05-25 07:00:00,shipping
T0000307,C000163,2025-07-07 16:00:00,shipping
T0000308,C000169,2025-10-26 14:00:00,cancellation_request
T0000309,C000170,2025-04-22 21:00:00,shipping
T0000310,C000171,2024-11-06 14:00:00,general
T0000311,C000172,2024-05-24 07:00:00,shipping
T0000312,C000173,2025-09-19 19:00:00,cancellation_request
T0000313,C000174,2024-11-13 05:00:00,shipping
T0000314,C000174,2025-04-19 03:00:00,product_issue
T0000315,C000174,2025-07-19 15:00:00,shipping
T0000316,C000174,2026-02-03 16:00:00,shipping
T0000317,C000175,2024-07-23 09:00:00,general
T0000318,C000176,2024-08-17 08:00:00,product_issue
T0000319,C000177,2026-03-15 05:00:00,general
T0000320,C000177,2026-04-01 08:00:00,product_issue
T0000321,C000178,2026-06-04 06:00:00,general
T0000322,C000179,2025-01-25 10:00:00,general
T0000323,C000179,2025-08-21 22:00:00,shipping
T0000324,C000180,2025-05-28 19:00:00,billing
T0000325,C000180,2025-11-05 00:00:00,general
T0000326,C000180,2025-11-25 22:00:00,general
T0000327,C000181,2025-11-26 08:00:00,product_issue
T0000328,C000182,2024-12-10 23:00:00,product_issue
T0000329,C000187,2024-06-19 10:00:00,shipping
T0000330,C000188,2025-01-07 02:00:00,product_issue
T0000331,C000189,2024-10-23 07:00:00,billing
T0000332,C000190,2025-07-07 16:00:00,billing
T0000333,C000190,2025-11-10 23:00:00,general
T0000334,C000191,2024-08-07 00:00:00,shipping
T0000335,C000191,2025-06-03 23:00:00,shipping
T0000336,C000191,2025-12-08 18:00:00,billing
T0000337,C000191,2026-04-27 16:00:00,general
T0000338,C000192,2024-03-25 17:00:00,product_issue
T0000339,C000193,2025-08-20 04:00:00,billing
T0000340,C000194,2025-03-20 12:00:00,shipping
T0000341,C000194,2025-06-08 13:00:00,shipping
T0000342,C000195,2025-08-27 14:00:00,shipping
T0000343,C000196,2025-10-12 13:00:00,shipping
T0000344,C000197,2025-09-23 10:00:00,cancellation_request
T0000345,C000197,2026-02-16 07:00:00,product_issue
T0000346,C000197,2026-03-26 21:00:00,billing
T0000347,C000197,2026-06-26 12:00:00,general
T0000348,C000199,2024-06-13 12:00:00,shipping
T0000349,C000199,2024-06-20 02:00:00,general
T0000350,C000199,2024-09-09 05:00:00,general
T0000351,C000199,2024-09-19 22:00:00,billing
